,Word,Arousal_mean,Valence_mean,Dominance_mean,Concreteness_mean,Imageability_mean,Size_mean,Gender_mean,Arousal_by_runs,Valence_by_runs,Dominance_by_runs,Concreteness_by_runs,Imageability_by_runs,Size_by_runs,Gender_by_runs
0,course (class),2.75,6.0,5.5,5.0,4.25,3.75,4.0,"[3, 2, 3, 3]","[6, 6, 6, 6]","[5, 6, 6, 5]","[5, 5, 5, 5]","[3, 4, 5, 5]","[4, 4, 4, 3]","[4, 4, 4, 4]"
1,whisker,1.75,5.0,4.25,7.0,6.5,1.5,4.0,"[2, 1, 2, 2]","[5, 5, 5, 5]","[4, 5, 4, 4]","[7, 7, 7, 7]","[7, 6, 7, 6]","[1, 1, 2, 2]","[4, 4, 4, 4]"
2,date (romantic),6.0,7.25,5.75,5.25,6.0,3.0,3.75,"[7, 5, 6, 6]","[8, 7, 7, 7]","[6, 6, 6, 5]","[6, 5, 5, 5]","[6, 6, 6, 6]","[3, 3, 3, 3]","[4, 3, 4, 4]"
3,saint,2.5,8.0,6.75,5.25,5.75,3.75,3.75,"[3, 2, 2, 3]","[8, 8, 8, 8]","[6, 8, 6, 7]","[5, 4, 6, 6]","[6, 5, 6, 6]","[3, 4, 4, 4]","[4, 3, 4, 4]"
4,wake (funeral),5.25,2.25,3.75,6.0,6.0,3.75,4.0,"[6, 6, 5, 4]","[2, 2, 2, 3]","[4, 4, 3, 4]","[6, 7, 5, 6]","[6, 6, 6, 6]","[4, 4, 4, 3]","[4, 4, 4, 4]"
5,network,3.0,6.0,6.25,5.0,4.5,4.75,4.0,"[4, 2, 3, 3]","[6, 6, 6, 6]","[6, 7, 6, 6]","[5, 5, 5, 5]","[4, 5, 4, 5]","[4, 5, 5, 5]","[4, 4, 4, 4]"
6,swift (quick),4.75,7.0,6.5,2.75,4.25,2.75,4.0,"[5, 4, 5, 5]","[7, 7, 7, 7]","[6, 7, 7, 6]","[4, 2, 3, 2]","[3, 4, 5, 5]","[3, 3, 3, 2]","[4, 4, 4, 4]"
7,seal,2.75,6.0,4.5,7.0,6.25,3.25,4.0,"[2, 3, 3, 3]","[6, 6, 6, 6]","[4, 5, 4, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[3, 3, 4, 3]","[4, 4, 4, 4]"
8,lift (elevator),2.5,5.0,5.0,7.0,6.25,3.75,4.0,"[3, 2, 3, 2]","[5, 5, 5, 5]","[5, 5, 5, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[4, 4, 4, 3]","[4, 4, 4, 4]"
9,caviar,3.25,6.5,6.25,7.0,6.25,1.75,4.0,"[4, 3, 3, 3]","[7, 7, 6, 6]","[6, 7, 6, 6]","[7, 7, 7, 7]","[7, 6, 6, 6]","[1, 2, 2, 2]","[4, 4, 4, 4]"
10,root,2.0,5.0,4.75,6.25,5.25,3.0,4.0,"[2, 1, 3, 2]","[5, 5, 5, 5]","[4, 5, 5, 5]","[6, 7, 6, 6]","[6, 5, 5, 5]","[3, 3, 4, 2]","[4, 4, 4, 4]"
11,rash (reckless),6.0,3.0,3.5,3.0,4.5,2.5,4.0,"[6, 6, 6, 6]","[3, 3, 3, 3]","[3, 4, 3, 4]","[4, 2, 3, 3]","[4, 5, 4, 5]","[3, 2, 3, 2]","[4, 4, 4, 4]"
12,algebra,3.0,4.75,5.5,4.25,4.0,3.5,4.0,"[3, 2, 3, 4]","[5, 5, 4, 5]","[5, 6, 6, 5]","[4, 3, 5, 5]","[3, 4, 4, 5]","[3, 4, 4, 3]","[4, 4, 4, 4]"
13,thigh,4.0,5.0,4.5,7.0,6.75,3.5,3.75,"[5, 3, 4, 4]","[5, 5, 5, 5]","[4, 5, 4, 5]","[7, 7, 7, 7]","[7, 6, 7, 7]","[3, 4, 4, 3]","[4, 3, 4, 4]"
14,key (crucial),4.0,7.0,7.0,3.5,4.0,3.0,4.0,"[5, 2, 5, 4]","[7, 7, 7, 7]","[7, 7, 7, 7]","[5, 3, 3, 3]","[3, 4, 4, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
15,beggar,3.25,2.5,2.0,7.0,6.25,2.75,4.0,"[4, 3, 3, 3]","[2, 2, 3, 3]","[2, 2, 2, 2]","[7, 7, 7, 7]","[7, 6, 6, 6]","[3, 3, 3, 2]","[4, 4, 4, 4]"
16,trustworthy,2.75,8.0,7.5,3.0,3.75,3.25,4.0,"[3, 2, 3, 3]","[8, 8, 8, 8]","[8, 8, 7, 7]","[4, 2, 3, 3]","[3, 4, 4, 4]","[3, 4, 3, 3]","[4, 4, 4, 4]"
17,inebriated,5.75,3.0,3.0,4.25,4.75,3.0,4.0,"[6, 5, 6, 6]","[3, 3, 3, 3]","[3, 3, 3, 3]","[5, 3, 5, 4]","[4, 5, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
18,torch (burn),5.25,4.0,4.75,6.25,6.0,3.0,4.0,"[6, 4, 5, 6]","[4, 4, 4, 4]","[4, 5, 5, 5]","[6, 7, 6, 6]","[6, 6, 6, 6]","[3, 3, 3, 3]","[4, 4, 4, 4]"
19,slab,2.0,4.25,4.75,7.0,6.25,3.75,4.0,"[2, 1, 3, 2]","[4, 4, 4, 5]","[4, 5, 5, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[4, 4, 4, 3]","[4, 4, 4, 4]"
20,abdication,4.5,3.0,3.0,3.75,3.75,4.25,4.0,"[5, 4, 4, 5]","[3, 3, 3, 3]","[3, 3, 3, 3]","[4, 3, 4, 4]","[3, 4, 4, 4]","[4, 5, 4, 4]","[4, 4, 4, 4]"
21,bank (money),3.25,6.25,6.75,6.5,6.25,5.0,4.0,"[4, 2, 4, 3]","[7, 6, 6, 6]","[7, 7, 7, 6]","[7, 7, 6, 6]","[7, 6, 6, 6]","[5, 5, 5, 5]","[4, 4, 4, 4]"
22,fake,4.75,2.25,3.0,4.0,4.5,2.25,4.0,"[5, 4, 5, 5]","[2, 2, 2, 3]","[3, 3, 3, 3]","[5, 3, 4, 4]","[4, 5, 4, 5]","[2, 2, 3, 2]","[4, 4, 4, 4]"
23,desert,2.75,4.5,4.25,7.0,6.5,6.0,4.0,"[3, 2, 3, 3]","[4, 5, 4, 5]","[4, 5, 4, 4]","[7, 7, 7, 7]","[7, 6, 6, 7]","[6, 6, 6, 6]","[4, 4, 4, 4]"
24,drive,3.75,6.0,6.25,5.25,5.0,3.5,4.0,"[4, 3, 4, 4]","[6, 6, 6, 6]","[6, 6, 7, 6]","[6, 5, 5, 5]","[5, 5, 5, 5]","[3, 4, 4, 3]","[4, 4, 4, 4]"
25,concoct,3.75,5.25,5.25,3.75,4.0,3.0,4.0,"[4, 3, 4, 4]","[5, 5, 5, 6]","[5, 6, 5, 5]","[4, 3, 4, 4]","[4, 4, 4, 4]","[3, 3, 3, 3]","[4, 4, 4, 4]"
26,jigsaw,3.5,6.0,4.75,7.0,6.25,2.5,4.0,"[3, 3, 4, 4]","[6, 6, 6, 6]","[4, 5, 5, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[2, 3, 3, 2]","[4, 4, 4, 4]"
27,crow,3.0,4.25,4.25,7.0,6.75,2.25,4.0,"[3, 3, 3, 3]","[4, 4, 4, 5]","[4, 5, 4, 4]","[7, 7, 7, 7]","[7, 6, 7, 7]","[2, 2, 3, 2]","[4, 4, 4, 4]"
28,galaxy,3.75,6.75,6.25,6.5,6.5,7.0,4.0,"[4, 3, 4, 4]","[6, 7, 7, 7]","[6, 7, 6, 6]","[7, 7, 6, 6]","[7, 6, 6, 7]","[7, 7, 7, 7]","[4, 4, 4, 4]"
29,park (car),2.25,5.25,5.0,5.75,6.25,3.5,4.0,"[3, 1, 3, 2]","[5, 6, 5, 5]","[5, 5, 5, 5]","[6, 5, 6, 6]","[7, 6, 6, 6]","[3, 4, 4, 3]","[4, 4, 4, 4]"
30,encore,4.75,7.25,6.5,4.0,4.5,2.75,4.0,"[5, 4, 5, 5]","[8, 7, 7, 7]","[6, 7, 7, 6]","[4, 3, 5, 4]","[4, 5, 4, 5]","[3, 3, 3, 2]","[4, 4, 4, 4]"
31,instant,4.25,6.0,5.5,3.0,4.0,2.5,4.0,"[5, 3, 4, 5]","[6, 6, 6, 6]","[5, 6, 6, 5]","[4, 2, 3, 3]","[4, 4, 4, 4]","[3, 2, 3, 2]","[4, 4, 4, 4]"
32,time,3.0,5.5,5.25,3.25,4.25,4.75,4.0,"[4, 2, 3, 3]","[5, 6, 5, 6]","[5, 6, 5, 5]","[3, 2, 4, 4]","[4, 4, 5, 4]","[4, 5, 5, 5]","[4, 4, 4, 4]"
33,adversity,5.0,3.0,3.5,3.0,3.5,4.0,4.0,"[6, 4, 5, 5]","[3, 3, 3, 3]","[4, 3, 3, 4]","[4, 2, 3, 3]","[2, 4, 4, 4]","[4, 4, 4, 4]","[4, 4, 4, 4]"
34,plank,2.0,4.75,4.75,7.0,6.25,3.75,4.0,"[2, 1, 3, 2]","[5, 5, 4, 5]","[4, 5, 5, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[4, 4, 4, 3]","[4, 4, 4, 4]"
35,ancient,2.75,5.25,4.75,3.5,4.75,5.0,4.0,"[3, 2, 3, 3]","[6, 5, 6, 4]","[4, 6, 5, 4]","[4, 2, 4, 4]","[4, 5, 5, 5]","[5, 5, 5, 5]","[4, 4, 4, 4]"
36,verb,1.75,5.0,5.0,3.5,3.0,2.75,4.0,"[2, 1, 2, 2]","[5, 5, 5, 5]","[5, 5, 5, 5]","[3, 2, 5, 4]","[2, 3, 3, 4]","[3, 3, 3, 2]","[4, 4, 4, 4]"
37,foul (penalty),5.5,3.0,3.25,5.0,5.0,2.75,4.0,"[6, 5, 5, 6]","[3, 3, 3, 3]","[3, 4, 3, 3]","[6, 3, 6, 5]","[5, 5, 5, 5]","[3, 2, 3, 3]","[4, 4, 4, 4]"
38,gym,4.75,6.0,5.5,7.0,6.25,4.0,4.0,"[5, 4, 5, 5]","[6, 6, 6, 6]","[5, 6, 6, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[4, 4, 4, 4]","[4, 4, 4, 4]"
39,erase,3.75,4.0,4.5,4.25,5.0,2.5,4.0,"[4, 3, 4, 4]","[4, 4, 4, 4]","[4, 5, 5, 4]","[5, 3, 4, 5]","[5, 5, 5, 5]","[3, 2, 3, 2]","[4, 4, 4, 4]"
40,diver,4.75,6.0,5.75,7.0,6.25,3.75,4.0,"[5, 4, 5, 5]","[6, 6, 6, 6]","[6, 6, 6, 5]","[7, 7, 7, 7]","[7, 6, 6, 6]","[4, 4, 4, 3]","[4, 4, 4, 4]"
