Word,Auditory_mean,Gustatory_mean,Haptic_mean,Interoceptive_mean,Olfactory_mean,Visual_mean,Auditory_by_runs,Gustatory_by_runs,Haptic_by_runs,Interoceptive_by_runs,Olfactory_by_runs,Visual_by_runs,Foot/leg_mean,Hand/arm_mean,Torso_mean,Head_mean,Mouth/throat_mean,Foot/leg_by_runs,Hand/arm_by_runs,Torso_by_runs,Head_by_runs,Mouth/throat_by_runs
abbreviate,1.75,0.75,2,1.75,1,3,"[2.0, 2.0, 2.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 1.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",2.5,2.75,2.5,3.25,0.5,"[3.0, 1.0, 3.0, 3.0]","[2.0, 4.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 4.0, 4.0, 3.0]","[0.0, 0.0, 1.0, 1.0]"
abdicate,2,0.5,2,2.75,1.25,3.25,"[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 0.0, 0.0]","[2.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 3.0, 2.0]","[1.0, 1.0, 2.0, 1.0]","[3.0, 3.0, 4.0, 3.0]",1.25,2.25,1.75,2.5,0,"[1.0, 2.0, 1.0, 1.0]","[2.0, 2.0, 1.0, 4.0]","[2.0, 2.0, 1.0, 2.0]","[2.0, 3.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 0.0]"
abdomen,1.75,0.25,4.75,4.25,1.5,2,"[2.0, 2.0, 2.0, 1.0]","[0.0, 1.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 4.0]","[4.0, 4.0, 4.0, 5.0]","[1.0, 2.0, 2.0, 1.0]","[2.0, 2.0, 2.0, 2.0]",4.25,2.75,4.25,2,0.5,"[4.0, 4.0, 5.0, 4.0]","[2.0, 2.0, 4.0, 3.0]","[4.0, 5.0, 3.0, 5.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 0.0, 1.0, 0.0]"
abdominal,1.75,1,4.25,4.5,1,2.75,"[2.0, 1.0, 2.0, 2.0]","[2.0, 0.0, 1.0, 1.0]","[4.0, 4.0, 5.0, 4.0]","[4.0, 5.0, 5.0, 4.0]","[2.0, 0.0, 1.0, 1.0]","[3.0, 2.0, 3.0, 3.0]",3.75,2,3,1,0,"[5.0, 5.0, 5.0, 0.0]","[3.0, 4.0, 1.0, 0.0]","[2.0, 5.0, 5.0, 0.0]","[0.0, 3.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
abduct,2.25,0.75,3.5,2.75,1.5,2.75,"[3.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 0.0, 1.0]","[4.0, 3.0, 3.0, 4.0]","[3.0, 2.0, 3.0, 3.0]","[2.0, 1.0, 2.0, 1.0]","[3.0, 3.0, 3.0, 2.0]",3.75,2.75,3,2,0,"[4.0, 4.0, 4.0, 3.0]","[3.0, 1.0, 4.0, 3.0]","[3.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0]"
abduction,2.75,0.5,2.75,3.25,1.25,2.25,"[3.0, 3.0, 2.0, 3.0]","[1.0, 1.0, 0.0, 0.0]","[2.0, 4.0, 2.0, 3.0]","[4.0, 3.0, 2.0, 4.0]","[1.0, 1.0, 1.0, 2.0]","[2.0, 2.0, 2.0, 3.0]",3.5,3.25,3,2.75,0.5,"[3.0, 4.0, 4.0, 3.0]","[3.0, 3.0, 3.0, 4.0]","[3.0, 3.0, 3.0, 3.0]","[2.0, 3.0, 2.0, 4.0]","[0.0, 0.0, 0.0, 2.0]"
abide,2.75,0.75,2.75,2.5,1.25,3,"[3.0, 3.0, 3.0, 2.0]","[0.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 3.0, 2.0]","[0.0, 2.0, 2.0, 1.0]","[2.0, 4.0, 3.0, 3.0]",2.25,2.5,2.25,2.75,1,"[2.0, 2.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 2.0]","[3.0, 3.0, 2.0, 3.0]","[1.0, 2.0, 1.0, 0.0]"
ability,2.25,0.5,2.25,2.5,1,2.75,"[2.0, 2.0, 3.0, 2.0]","[1.0, 1.0, 0.0, 0.0]","[3.0, 2.0, 2.0, 2.0]","[3.0, 2.0, 3.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[2.0, 2.0, 4.0, 3.0]",2.25,2.5,2.5,3,0.75,"[2.0, 3.0, 3.0, 1.0]","[3.0, 3.0, 2.0, 2.0]","[3.0, 3.0, 2.0, 2.0]","[3.0, 4.0, 2.0, 3.0]","[0.0, 0.0, 1.0, 2.0]"
able,2.25,0.75,3,2.5,1.5,3.75,"[2.0, 3.0, 2.0, 2.0]","[1.0, 0.0, 1.0, 1.0]","[2.0, 3.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 2.0, 1.0]","[4.0, 3.0, 4.0, 4.0]",2.75,2.5,2.5,2.75,1,"[1.0, 3.0, 3.0, 4.0]","[2.0, 2.0, 4.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 3.0, 3.0, 3.0]","[1.0, 0.0, 2.0, 1.0]"
abode,2,0.5,3.5,2.75,1.75,4,"[2.0, 2.0, 2.0, 2.0]","[0.0, 1.0, 1.0, 0.0]","[4.0, 4.0, 3.0, 3.0]","[3.0, 3.0, 2.0, 3.0]","[1.0, 2.0, 2.0, 2.0]","[4.0, 5.0, 4.0, 3.0]",2.5,2.25,2.25,2.5,0.5,"[2.0, 2.0, 4.0, 2.0]","[2.0, 2.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[0.0, 0.0, 1.0, 1.0]"
abortion,2.25,1,3.75,3.5,1.75,3,"[3.0, 2.0, 2.0, 2.0]","[0.0, 1.0, 2.0, 1.0]","[4.0, 4.0, 3.0, 4.0]","[3.0, 4.0, 4.0, 3.0]","[2.0, 1.0, 2.0, 2.0]","[4.0, 3.0, 2.0, 3.0]",2,1.75,2.75,2.75,2.5,"[0.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 2.0, 2.0]","[3.0, 4.0, 2.0, 2.0]","[3.0, 3.0, 2.0, 3.0]","[4.0, 0.0, 1.0, 5.0]"
abroad,2.5,0.5,2,1.5,1,4,"[2.0, 3.0, 2.0, 3.0]","[0.0, 1.0, 1.0, 0.0]","[2.0, 2.0, 2.0, 2.0]","[0.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0]",2.5,2,2.25,2.5,0.75,"[3.0, 3.0, 1.0, 3.0]","[1.0, 3.0, 1.0, 3.0]","[2.0, 2.0, 2.0, 3.0]","[2.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 0.0, 1.0]"
abrupt,2.5,0.5,2.25,2.25,1,2.75,"[2.0, 3.0, 3.0, 2.0]","[0.0, 0.0, 1.0, 1.0]","[2.0, 2.0, 3.0, 2.0]","[3.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[2.0, 3.0, 3.0, 3.0]",2.75,2,2.25,2.5,0.5,"[2.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 2.0]"
absorb,1.75,0.5,3.25,2.25,1.5,2.75,"[1.0, 2.0, 2.0, 2.0]","[0.0, 1.0, 1.0, 0.0]","[3.0, 4.0, 4.0, 2.0]","[3.0, 2.0, 3.0, 1.0]","[2.0, 1.0, 2.0, 1.0]","[2.0, 3.0, 3.0, 3.0]",2.75,2,2.5,2.5,1.25,"[3.0, 2.0, 4.0, 2.0]","[2.0, 1.0, 3.0, 2.0]","[2.0, 3.0, 3.0, 2.0]","[2.0, 3.0, 2.0, 3.0]","[2.0, 2.0, 1.0, 0.0]"
abstract,2.25,0.75,2,2.5,1,4,"[2.0, 3.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 0.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0]",1.5,1.25,2,3.75,0.5,"[1.0, 1.0, 3.0, 1.0]","[1.0, 1.0, 2.0, 1.0]","[2.0, 1.0, 3.0, 2.0]","[3.0, 5.0, 3.0, 4.0]","[0.0, 1.0, 1.0, 0.0]"
absurd,2.25,0.5,1.75,2,1.75,3,"[3.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 0.0, 0.0]","[2.0, 1.0, 2.0, 2.0]","[3.0, 2.0, 2.0, 1.0]","[1.0, 2.0, 2.0, 2.0]","[2.0, 3.0, 3.0, 4.0]",2,2,2.25,3,0.25,"[2.0, 1.0, 4.0, 1.0]","[2.0, 1.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 2.0]","[3.0, 3.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 1.0]"
absurdly,2.5,0.75,2,2,1.25,2.5,"[2.0, 3.0, 3.0, 2.0]","[0.0, 1.0, 1.0, 1.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 2.0]","[3.0, 2.0, 3.0, 2.0]",2.25,2,2.25,3.25,0.5,"[2.0, 2.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 3.0, 2.0, 2.0]","[2.0, 4.0, 4.0, 3.0]","[0.0, 0.0, 1.0, 1.0]"
abundance,2.5,1,3.25,3,1.75,4,"[3.0, 3.0, 2.0, 2.0]","[0.0, 2.0, 1.0, 1.0]","[3.0, 4.0, 2.0, 4.0]","[2.0, 4.0, 3.0, 3.0]","[2.0, 2.0, 1.0, 2.0]","[4.0, 4.0, 4.0, 4.0]",2.75,1.75,2.25,3,0.75,"[4.0, 2.0, 2.0, 3.0]","[2.0, 2.0, 1.0, 2.0]","[2.0, 3.0, 2.0, 2.0]","[3.0, 4.0, 2.0, 3.0]","[2.0, 0.0, 1.0, 0.0]"
abundant,2,1.5,3.5,3.25,2.25,3.75,"[2.0, 2.0, 2.0, 2.0]","[1.0, 0.0, 1.0, 4.0]","[4.0, 3.0, 3.0, 4.0]","[3.0, 2.0, 3.0, 5.0]","[2.0, 2.0, 2.0, 3.0]","[4.0, 3.0, 4.0, 4.0]",2.5,2.25,2.5,2.75,0.75,"[1.0, 3.0, 2.0, 4.0]","[2.0, 2.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 3.0, 3.0, 3.0]","[1.0, 0.0, 1.0, 1.0]"
abuse,3,0.5,3,2.75,1.75,3,"[3.0, 4.0, 3.0, 2.0]","[1.0, 0.0, 0.0, 1.0]","[3.0, 4.0, 3.0, 2.0]","[3.0, 3.0, 2.0, 3.0]","[2.0, 2.0, 2.0, 1.0]","[2.0, 3.0, 4.0, 3.0]",2.25,2,2.5,2,1.25,"[3.0, 1.0, 3.0, 2.0]","[2.0, 1.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 2.0]"
abuser,2.5,0.5,2.25,2.75,1.25,2.5,"[2.0, 3.0, 2.0, 3.0]","[1.0, 0.0, 0.0, 1.0]","[2.0, 2.0, 2.0, 3.0]","[3.0, 2.0, 2.0, 4.0]","[2.0, 1.0, 1.0, 1.0]","[2.0, 1.0, 4.0, 3.0]",2.25,2,2.5,2.5,0.75,"[3.0, 1.0, 3.0, 2.0]","[2.0, 1.0, 3.0, 2.0]","[3.0, 2.0, 2.0, 3.0]","[3.0, 2.0, 2.0, 3.0]","[0.0, 1.0, 1.0, 1.0]"
abyss,2.25,1,2.75,2.5,1.5,3.75,"[2.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 1.0]","[3.0, 2.0, 4.0, 2.0]","[2.0, 4.0, 3.0, 1.0]","[1.0, 1.0, 2.0, 2.0]","[4.0, 2.0, 4.0, 5.0]",2.5,2.75,2.5,2.75,0.75,"[2.0, 2.0, 4.0, 2.0]","[2.0, 2.0, 3.0, 4.0]","[2.0, 1.0, 3.0, 4.0]","[2.0, 3.0, 3.0, 3.0]","[0.0, 1.0, 2.0, 0.0]"
academic,2.5,0.75,2.25,1.75,1,4,"[3.0, 2.0, 2.0, 3.0]","[1.0, 0.0, 1.0, 1.0]","[2.0, 2.0, 3.0, 2.0]","[2.0, 1.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0]",2,1.5,2.5,1.25,0,"[4.0, 2.0, 2.0, 0.0]","[3.0, 2.0, 1.0, 0.0]","[2.0, 3.0, 2.0, 3.0]","[0.0, 3.0, 2.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
